Transcription	Gloss	Translation	Orthography	Notes	ID	RecordingQaulity	Date	Location	Speaker	Filename
∅-i-ŋkʰ	is-PST-1PL	were (1PL)	ինք		NK_05_01_21_001	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_001_∅-i-ŋkʰ
æɻæb	Arab	Arab	արաբ		NK_10_26_21_005	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_005_æɻæb
æɻæb	Arab	Arab	արաբ		NK_10_26_21_006	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_006_æɻæb
æɻæb	Arab	Arab	արաբ		NK_10_26_21_007	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_007_æɻæb
æɻæb-i	Arab-GEN	Arab's	արաբի		NK_10_26_21_003	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_003_æɻæb-i
æɻæb-i	Arab-GEN	Arab's	արաբի		NK_10_26_21_004	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_004_æɻæb-i
æɻæb-i mekʰenɒ-n	Arab-GEN car-DEF	The Arab's car	արաբի մեքենան		NK_10_26_21_001	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_001_æɻæb-i mekʰenɒ-n
æɻæb-i mekʰenɒ-n	Arab-GEN car-DEF	The Arab's car	արաբի մեքենան		NK_10_26_21_002	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_002_æɻæb-i mekʰenɒ-n
ɒjɡi	garden	garden	այգի		NK_05_01_21_002	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_002_ɒjɡi
ɒmusin	husband	husband	ամուսին		NK_02_15_22_001	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_001_ɒmusin
ɒmusin	husband	husband	ամուսին		NK_02_15_22_002	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_002_ɒmusin
ɒmusn-ut͡ʃʰun	marriage	marriage	ամուսնութիւն		NK_02_15_22_003	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_003_ɒmusn-ut͡ʃʰun
ɒmusn-ut͡ʃʰun	marriage	marriage	ամուսնութիւն		NK_02_15_22_004	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_004_ɒmusn-ut͡ʃʰun
ɒn-e-l	do-TH-INF	to do	անել		NK_05_01_21_003	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_003_ɒn-e-l
ɒnt͡sʰjɒl tɒɻi iɻɒn siɻ-um ∅-i-m	latst year he.DAT like-IMPF.CVB is-PST-1SG	last year I loved him	անցեալ տարի իրան սիրում իմ		NK_03_09_21_001	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_001_ɒnt͡sʰjɒl tɒɻi iɻɒn siɻ-um ∅-i-m
ɒpɒki	glass	glass	ապակի		NK_10_26_21_008	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_008_ɒpɒki
ɒpʰ	shore	shore	ափ		NK_10_26_21_009	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_009_ɒpʰ
ɒpʰ	shore	shore	ափ		NK_10_26_21_010	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_010_ɒpʰ
ɒpɻ-e-l	live-TH-INF	to live	ապրել		NK_05_01_21_004	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_004_ɒpɻ-e-l
ɒpuɻ	soup	soup	ապուր		NK_10_26_21_011	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_011_ɒpuɻ
ɒpuʃ	idiot	idiot	ապուշ		NK_10_26_21_012	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_012_ɒpuʃ
ɒr-n-e-l	buy-VX-TH-INF	to buy	առնել		NK_05_01_21_005	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_005_ɒr-n-e-l
ɒr-n-e-l	buy-VX-TH-ING	to buy	առնել		NK_05_01_21_006	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_006_ɒr-n-e-l
ɒrɒvot	morning	morning	առաւոտ		NK_10_26_21_013	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_013_ɒrɒvot
ɒrɒvot	morning	morning	առաւոտ		NK_10_26_21_014	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_014_ɒrɒvot
ɒrɒvot	morning	morning	առաւոտ		NK_10_26_21_015	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_015_ɒrɒvot
ɒɻ-ekʰ	come-IMP.2PL	come.PL!	արէք		NK_04_13_21_001	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_001_ɒɻ-ekʰ
ɒɻɒbeɻen	Arabic	Arabic	արաբերէն		NK_10_26_21_016	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_016_ɒɻɒbeɻen
ɒɻɒbeɻen	Arabic	Arabic	արաբերէն		NK_10_26_21_017	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_017_ɒɻɒbeɻen
ɒɻɒɡ	fast	fast	արագ		NK_10_26_21_020	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_020_ɒɻɒɡ
ɒɻɒɡ	fast	fast	արագ		NK_10_26_21_021	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_021_ɒɻɒɡ
ɒɻɒɡ-ən ɒ	fast-DEF is	he is the fast one	արագն ա		NK_10_26_21_018	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_018_ɒɻɒɡ-ən ɒ
ɒɻɒɡ-ən ɒ	fast-DEF is	he is the fast one	արագն ա		NK_10_26_21_019	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_019_ɒɻɒɡ-ən ɒ
