Class	E-Class	E-Class	A-Class	Inchoative	Inchoative	Causative	Causative	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized E-Class
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized irregular
Initial segment	C	V	C	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	V	C	C	C	V	C	V	C	C	C
Example lemma	jeɻkʰel	uʁɒɻkel	kɒɻtʰɒl	t͡sʰɒnknɒl	uɻɒχɒnɒl	veɻt͡sʰnel	uɻɒχɒt͡sʰnel	mernel	it͡ʃʰnel	pʰɒχnel	ɒrnel	tesnel	elnel	tʱɒʁnel	utel	ɒnel	tɒnel	dənel	etʰɒl	tɒl	ɡɒl	kɒm	unem	beɻel	ɒsel	dɒrnɒl	ləvɒnɒl	bɒt͡sʰel
Example gloss	to sing	to send	to read	to wish	to become happy	to buy	to make happy	to die	to descend	to escape	to buy	to see	to be	to let	to eat	to do	to take to	to put	to go	to give	to come	to exist	to have	to bring	to say	to turn into	to wash	to open
Example stems	{X} = jeɻkʰ-	{X} = uʁɒɻk-	{X} = kɒɻtʰ-	{X} = t͡sʰɒnk-	{X} = uɻɒχɒ-	{X} = veɻ-	{X} = uɻɒχɒ-	{X} = mer-	{X} = it͡ʃʰ-	{X} = pʰɒχ-	{X} = ɒr-	{X} = tes-	{X} = el-	{X} = tʰoʁ-	{Xprs} = ut-, {Xpst} = keɻ-	{Xprs} = ɒn-, {Xpst} = ɒɻ-	{Xprs} = tɒn-, {Xpst} = tɒɻ-	{Xprs} = dən-, {Xpst} = dəɻ-, {Ximp} = diɻ-	{Xprs} = etʰ-, {Xpst} = ɡən-	{Xprs} = t-, {Xpst} = tu-, {Ximp} = tuɻ-	{Xprs} = ɡ-, {Xpst} = ek-, {Ximp} = ɒɻi-	{X} = k-	{X} = un-	{X} = beɻ	{X} = ɒs-	{Xprs} = dɒr-, {Xpst} = dɒɻ-	{X} = ləvɒ-	{X} = bɒt͡sʰ-
infinitive	{X}el	{X}el	{X}ɒl	{X}nɒl	{X}nɒl	{X}t͡sʰnel	{X}t͡sʰnel	{X}nel	{X}nel	{X}nel	{X}nel	{X}nel	{X}nel	{X}nel	{Xprs}el	{Xprs}el	{Xprs}el	{Xprs}el	{Xprs}ɒl	{Xprs}ɒl	{Xprs}ɒl			{X}el	{X}el	{Xprs}nɒl	{X}nɒl	{X}el
passive (even if infelicious for regulars)	{X}vel	{X}vel	{X}ɒt͡sʰvel	{X}t͡sʰvel	{X}t͡sʰvel	{X}t͡sʰvel	{X}t͡sʰvel				{X}nvel	{X}nvel						{Xpst}vel										{X}vel
causative (even if infelicious for regulars)	{X}et͡sʰnel	{X}et͡sʰnel	{X}ɒt͡sʰnel	{X}t͡sʰnel	{X}t͡sʰnel			{X}t͡sʰnel	{X}t͡sʰnel	{X}t͡sʰnel		{X}t͡sʰnel		{X}t͡sʰnel														
resultative participle	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰɒt͡sʰ	{X}t͡sʰɒt͡sʰ	{X}t͡sʰɒt͡sʰ	{X}t͡sʰɻɒt͡sʰ	{X}t͡sʰɻɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{X}ɒt͡sʰ	{Xpst}ɒt͡sʰ	{Xpst}ɒt͡sʰ	{Xpst}ɒt͡sʰ	{Xpst}ɒt͡sʰ	{Xpst}ɒt͡sʰɒt͡sʰ	{Xpst}ɒt͡sʰ	{Xpst}ɒt͡sʰ			{X}ɒt͡sʰ	{X}ɒt͡sʰ	{Xpst}t͡sʰɒt͡sʰ	{X}t͡sʰɒt͡sʰ	{X}ɒt͡sʰ
subject participle	{X}oʁ	{X}oʁ	{X}ɒt͡sʰoʁ	{X}t͡sʰoʁ	{X}t͡sʰoʁ	{X}t͡sʰnoʁ	{X}t͡sʰnoʁ	{X}noʁ	{X}noʁ	{X}noʁ	{X}noʁ	{X}noʁ	{X}noʁ	{X}noʁ	{Xprs}oʁ	{Xprs}oʁ	{Xprs}oʁ	{Xprs}oʁ	{Xpst}ɒt͡sʰoʁ	{Xpst}oʁ	{Xpst}oʁ			{X}oʁ	{X}oʁ	{Xpst}t͡sʰoʁ	{X}t͡sʰoʁ	{X}oʁ
imperfective converb	{X}um	{X}um	{X}um	{X}num	{X}num	{X}t͡sʰnum	{X}t͡sʰnum	{X}num	{X}num	{X}num	{X}num	{X}num	{X}num	{X}num	{Xprs}um	{Xprs}um	{Xprs}um	{Xprs}um	{Xprs}um	{Xprs}ɒlis	{Xprs}ɒlis			{X}um	{X}um	{Xprs}num	{X}num	{X}um
perfective converb A	{X}el	{X}el	{X}ɒt͡sʰel	{X}t͡sʰel	{X}t͡sʰel	{X}t͡sʰɻel	{X}t͡sʰɻel	{X}el	{X}el	{X}el	{X}el	{X}el	{X}el	{X}el	{Xpst}el	{Xpst}el	{Xpst}el	{Xpst}el	{Xpst}ɒt͡sʰel	{Xpst}el	{Xpst}el			{X}el	{X}el	{Xpst}t͡sʰel	{X}t͡sʰel	{X}el
perfective converb A	{X}eɻ	{X}eɻ	{X}ɒt͡sʰeɻ	{X}t͡sʰeɻ	{X}t͡sʰeɻ	{X}t͡sʰɻeɻ	{X}t͡sʰɻeɻ	{X}eɻ	{X}eɻ	{X}eɻ	{X}eɻ	{X}eɻ	{X}eɻ	{X}eɻ	{Xpst}eɻ	{Xpst}eɻ	{Xpst}eɻ	{Xpst}eɻ	{Xpst}ɒt͡sʰeɻ	{Xpst}eɻ	{Xpst}eɻ			{X}eɻ	{X}eɻ	{Xpst}t͡sʰeɻ	{X}t͡sʰeɻ	{X}eɻ
future converb	{X}elu	{X}elu	{X}ɒlu	{X}nɒlu	{X}nɒlu	{X}t͡sʰnelu	{X}t͡sʰnelu	{X}nelu	{X}nelu	{X}nelu	{X}nelu	{X}nelu	{X}nelu	{X}nelu	{Xprs}elu	{Xprs}elu	{Xprs}elu	{Xprs}elu	{Xprs}ɒlu	{Xprs}ɒlu	{Xprs}ɒlu			{X}elu	{X}elu	{Xprs}nɒlu	{X}nɒlu	{X}elu
connegative converb	{X}i	{X}i	{X}ɒj	{X}nɒj	{X}nɒj	{X}t͡sʰni	{X}t͡sʰni	{X}ni	{X}ni	{X}ni	{X}ni	{X}ni	{X}ni	{X}ni	{Xprs}i	{Xprs}i	{Xprs}i	{Xprs}i	{Xprs}ɒj	{Xprs}ɒj	{Xprs}ɒj			{X}i	{X}i	{Xprs}nɒj	{X}nɒj	{X}i
indicative present 1SG	{X}um em	{X}um em	{X}um em	{X}num em	{X}num em	{X}t͡sʰnum em	{X}t͡sʰnum em	{X}num em	{X}num em	{X}num em	{X}num em	{X}num em	{X}num em	{X}num em	{Xprs}um em	{Xprs}um em	{Xprs}um em	{Xprs}um em	{Xprs}um em	{Xprs}ɒlis em	{Xprs}ɒlis em	{X}ɒm	{X}em	{X}um em	{X}um em	{Xprs}num em	{X}num em	{X}um em
indicative present 2SG	{X}um es	{X}um es	{X}um es	{X}num es	{X}num es	{X}t͡sʰnum es	{X}t͡sʰnum es	{X}num es	{X}num es	{X}num es	{X}num es	{X}num es	{X}num es	{X}num es	{Xprs}um es	{Xprs}um es	{Xprs}um es	{Xprs}um es	{Xprs}um es	{Xprs}ɒlis es	{Xprs}ɒlis es	{X}ɒs	{X}es	{X}um es	{X}um es	{Xprs}num es	{X}num es	{X}um es
